code;city
4012;Brisbane CBD & Inner Suburbs Brisbane QLD
4013;Brisbane CBD & Inner Suburbs Brisbane QLD
4014;Brisbane CBD & Inner Suburbs Brisbane QLD
4017;Brisbane CBD & Inner Suburbs Brisbane QLD
4018;Brisbane CBD & Inner Suburbs Brisbane QLD
4025;Brisbane CBD & Inner Suburbs Brisbane QLD
4030;Brisbane CBD & Inner Suburbs Brisbane QLD
4031;Brisbane CBD & Inner Suburbs Brisbane QLD
4032;Brisbane CBD & Inner Suburbs Brisbane QLD
4034;Brisbane CBD & Inner Suburbs Brisbane QLD
4036;Brisbane CBD & Inner Suburbs Brisbane QLD
4051;Brisbane CBD & Inner Suburbs Brisbane QLD
4053;Brisbane CBD & Inner Suburbs Brisbane QLD
4059;Brisbane CBD & Inner Suburbs Brisbane QLD
4060;Brisbane CBD & Inner Suburbs Brisbane QLD
4061;Brisbane CBD & Inner Suburbs Brisbane QLD
4064;Brisbane CBD & Inner Suburbs Brisbane QLD
4065;Brisbane CBD & Inner Suburbs Brisbane QLD
4066;Brisbane CBD & Inner Suburbs Brisbane QLD
4067;Brisbane CBD & Inner Suburbs Brisbane QLD
4068;Brisbane CBD & Inner Suburbs Brisbane QLD
4069;Brisbane CBD & Inner Suburbs Brisbane QLD
4070;Brisbane CBD & Inner Suburbs Brisbane QLD
4073;Brisbane CBD & Inner Suburbs Brisbane QLD
4074;Brisbane CBD & Inner Suburbs Brisbane QLD
4075;Brisbane CBD & Inner Suburbs Brisbane QLD
4076;Brisbane CBD & Inner Suburbs Brisbane QLD
4077;Brisbane CBD & Inner Suburbs Brisbane QLD
4078;Brisbane CBD & Inner Suburbs Brisbane QLD
4101;Brisbane CBD & Inner Suburbs Brisbane QLD
4102;Brisbane CBD & Inner Suburbs Brisbane QLD
4103;Brisbane CBD & Inner Suburbs Brisbane QLD
4104;Brisbane CBD & Inner Suburbs Brisbane QLD
4105;Brisbane CBD & Inner Suburbs Brisbane QLD
4106;Brisbane CBD & Inner Suburbs Brisbane QLD
4107;Brisbane CBD & Inner Suburbs Brisbane QLD
4108;Brisbane CBD & Inner Suburbs Brisbane QLD
4109;Brisbane CBD & Inner Suburbs Brisbane QLD
4110;Brisbane CBD & Inner Suburbs Brisbane QLD
4111;Brisbane CBD & Inner Suburbs Brisbane QLD
4112;Brisbane CBD & Inner Suburbs Brisbane QLD
4113;Brisbane CBD & Inner Suburbs Brisbane QLD
4115;Brisbane CBD & Inner Suburbs Brisbane QLD
4116;Brisbane CBD & Inner Suburbs Brisbane QLD
4117;Brisbane CBD & Inner Suburbs Brisbane QLD
4120;Brisbane CBD & Inner Suburbs Brisbane QLD
4121;Brisbane CBD & Inner Suburbs Brisbane QLD
4122;Brisbane CBD & Inner Suburbs Brisbane QLD
4123;Brisbane CBD & Inner Suburbs Brisbane QLD
4151;Brisbane CBD & Inner Suburbs Brisbane QLD
4152;Brisbane CBD & Inner Suburbs Brisbane QLD
4154;Brisbane CBD & Inner Suburbs Brisbane QLD
4153;Brisbane CBD & Inner Suburbs Brisbane QLD
4155;Brisbane CBD & Inner Suburbs Brisbane QLD
4156;Brisbane CBD & Inner Suburbs Brisbane QLD
4169;Brisbane CBD & Inner Suburbs Brisbane QLD
4170;Brisbane CBD & Inner Suburbs Brisbane QLD
4171;Brisbane CBD & Inner Suburbs Brisbane QLD
4172;Brisbane CBD & Inner Suburbs Brisbane QLD
4173;Brisbane CBD & Inner Suburbs Brisbane QLD
4174;Brisbane CBD & Inner Suburbs Brisbane QLD
4178;Brisbane CBD & Inner Suburbs Brisbane QLD
4179;Brisbane CBD & Inner Suburbs Brisbane QLD
6725;Broome & Kimberley WA
6726;Broome & Kimberley WA
6728;Broome & Kimberley WA
6731;Broome & Kimberley WA
6733;Broome & Kimberley WA
6740;Broome & Kimberley WA
6743;Broome & Kimberley WA
6765;Broome & Kimberley WA
6770;Broome & Kimberley WA
6218;Bunbury & South West WA
6220;Bunbury & South West WA
6221;Bunbury & South West WA
6223;Bunbury & South West WA
6224;Bunbury & South West WA
6225;Bunbury & South West WA
6226;Bunbury & South West WA
6228;Bunbury & South West WA
6227;Bunbury & South West WA
6229;Bunbury & South West WA
6230;Bunbury & South West WA
6232;Bunbury & South West WA
6233;Bunbury & South West WA
6236;Bunbury & South West WA
6237;Bunbury & South West WA
6239;Bunbury & South West WA
6240;Bunbury & South West WA
6243;Bunbury & South West WA
6244;Bunbury & South West WA
6251;Bunbury & South West WA
6253;Bunbury & South West WA
6252;Bunbury & South West WA
6254;Bunbury & South West WA
6255;Bunbury & South West WA
6256;Bunbury & South West WA
6258;Bunbury & South West WA
6260;Bunbury & South West WA
6262;Bunbury & South West WA
6271;Bunbury & South West WA
6275;Bunbury & South West WA
6280;Bunbury & South West WA
6281;Bunbury & South West WA
6282;Bunbury & South West WA
6284;Bunbury & South West WA
6285;Bunbury & South West WA
6286;Bunbury & South West WA
6288;Bunbury & South West WA
6290;Bunbury & South West WA
6398;Bunbury & South West WA
4621;Bundaberg & Wide Bay Burnett QLD
4625;Bundaberg & Wide Bay Burnett QLD
4626;Bundaberg & Wide Bay Burnett QLD
4627;Bundaberg & Wide Bay Burnett QLD
4630;Bundaberg & Wide Bay Burnett QLD
4660;Bundaberg & Wide Bay Burnett QLD
4670;Bundaberg & Wide Bay Burnett QLD
4671;Bundaberg & Wide Bay Burnett QLD
4673;Bundaberg & Wide Bay Burnett QLD
4849;Cairns & Far North QLD
4852;Cairns & Far North QLD
4854;Cairns & Far North QLD
4855;Cairns & Far North QLD
4856;Cairns & Far North QLD
4858;Cairns & Far North QLD
4859;Cairns & Far North QLD
4860;Cairns & Far North QLD
4861;Cairns & Far North QLD
4865;Cairns & Far North QLD
4868;Cairns & Far North QLD
4869;Cairns & Far North QLD
4870;Cairns & Far North QLD
4871;Cairns & Far North QLD
4872;Cairns & Far North QLD
4873;Cairns & Far North QLD
4875;Cairns & Far North QLD
4876;Cairns & Far North QLD
4877;Cairns & Far North QLD
4878;Cairns & Far North QLD
4879;Cairns & Far North QLD
4880;Cairns & Far North QLD
4881;Cairns & Far North QLD
4882;Cairns & Far North QLD
4883;Cairns & Far North QLD
4884;Cairns & Far North QLD
4885;Cairns & Far North QLD
4886;Cairns & Far North QLD
4887;Cairns & Far North QLD
4888;Cairns & Far North QLD
4890;Cairns & Far North QLD
4891;Cairns & Far North QLD
4895;Cairns & Far North QLD
7027;Central & South East TAS
7026;Central & South East TAS
7030;Central & South East TAS
7109;Central & South East TAS
7112;Central & South East TAS
7116;Central & South East TAS
7113;Central & South East TAS
7117;Central & South East TAS
7119;Central & South East TAS
7120;Central & South East TAS
7140;Central & South East TAS
7151;Central & South East TAS
7171;Central & South East TAS
7172;Central & South East TAS
7173;Central & South East TAS
7175;Central & South East TAS
7174;Central & South East TAS
7177;Central & South East TAS
7176;Central & South East TAS
7178;Central & South East TAS
7180;Central & South East TAS
7182;Central & South East TAS
7183;Central & South East TAS
7184;Central & South East TAS
7185;Central & South East TAS
7186;Central & South East TAS
7187;Central & South East TAS
7304;Central & South East TAS
2441;Coffs Harbour & North Coast NSW
2447;Coffs Harbour & North Coast NSW
2448;Coffs Harbour & North Coast NSW
2449;Coffs Harbour & North Coast NSW
2450;Coffs Harbour & North Coast NSW
2452;Coffs Harbour & North Coast NSW
2453;Coffs Harbour & North Coast NSW
2454;Coffs Harbour & North Coast NSW
2455;Coffs Harbour & North Coast NSW
2456;Coffs Harbour & North Coast NSW
2460;Coffs Harbour & North Coast NSW
2462;Coffs Harbour & North Coast NSW
2463;Coffs Harbour & North Coast NSW
2464;Coffs Harbour & North Coast NSW
2465;Coffs Harbour & North Coast NSW
2466;Coffs Harbour & North Coast NSW
5440;Coober Pedy & Outback SA
5601;Coober Pedy & Outback SA
5690;Coober Pedy & Outback SA
5710;Coober Pedy & Outback SA
5720;Coober Pedy & Outback SA
5722;Coober Pedy & Outback SA
5723;Coober Pedy & Outback SA
5724;Coober Pedy & Outback SA
5725;Coober Pedy & Outback SA
5730;Coober Pedy & Outback SA
5731;Coober Pedy & Outback SA
5732;Coober Pedy & Outback SA
5733;Coober Pedy & Outback SA
5734;Coober Pedy & Outback SA
7256;Devonport & North West TAS
7305;Devonport & North West TAS
7306;Devonport & North West TAS
7307;Devonport & North West TAS
7310;Devonport & North West TAS
7315;Devonport & North West TAS
7316;Devonport & North West TAS
7320;Devonport & North West TAS
7321;Devonport & North West TAS
7322;Devonport & North West TAS
7325;Devonport & North West TAS
7330;Devonport & North West TAS
7331;Devonport & North West TAS
7466;Devonport & North West TAS
7467;Devonport & North West TAS
7468;Devonport & North West TAS
7469;Devonport & North West TAS
7470;Devonport & North West TAS
2357;Dubbo & Central NSW
2379;Dubbo & Central NSW
2395;Dubbo & Central NSW
2396;Dubbo & Central NSW
2668;Dubbo & Central NSW
2671;Dubbo & Central NSW
2672;Dubbo & Central NSW
2721;Dubbo & Central NSW
2809;Dubbo & Central NSW
2810;Dubbo & Central NSW
2821;Dubbo & Central NSW
2823;Dubbo & Central NSW
2824;Dubbo & Central NSW
2825;Dubbo & Central NSW
2827;Dubbo & Central NSW
2828;Dubbo & Central NSW
2829;Dubbo & Central NSW
2830;Dubbo & Central NSW
2831;Dubbo & Central NSW
